result
     ENTRY_TS     | GROUPID | PLANS_STARTED | PLANS_FINISHED | PLANS_WAITING_LONG | PLANS_WAITING_SHORT | PLANS_RUNNING_LONG | PLANS_RUNNING_SHORT | TARGET_JOB_MAX | TARGET_RSG_PCT | TARGET_RSG_MAX | ACTUAL_RSG_PCT | ACTUAL_RSG_PCT_SAMPLE | ACTUAL_JOB_MAX | ALLOWED_RSG_PCT | ALLOWED_RSG_PCT_SAMPLE | EXPECTED_RSG_PCT | EXPECTED_RSG_PCT_SAMPLE | RSG_HORIZON_US | COMPLIANCE | SAMPLE_SECS | BUSY_SECS | HOST_CPU_SECS | HOST_DISK_READ_SECS | HOST_DISK_WRITE_SECS | HOST_FABRIC_SECS | SPU_CPU_SECS | SPU_DISK_READ_SECS | SPU_DISK_WRITE_SECS | SPU_FABRIC_SECS | SPU_DATA_DISK_READ_SECS | SPU_DATA_DISK_WRITE_SECS | SPU_TEMP_DISK_READ_SECS | SPU_TEMP_DISK_WRITE_SECS 
 1584519558244277 | 6808625 |          1173 |           1153 |              3.988 |                0.16 |             14.555 |               0.911 |              0 |             10 |            100 |            100 |                   100 |             19 |              99 |                    100 |               73 |                     100 |      600000000 |          4 |          60 |        60 |          0.23 |                   0 |                    0 |                0 |        51.04 |              40.36 |                6.96 |            0.97 |                   40.33 |                     6.96 |                    0.02 |                        0
 1584519618244854 | 6808625 |          1236 |           1216 |              3.265 |                0.23 |             10.885 |               5.483 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               74 |                     100 |      600000000 |          4 |          60 |        60 |          0.25 |                   0 |                    0 |                0 |        39.58 |              41.04 |                2.35 |            2.62 |                   41.04 |                     2.35 |                       0 |                        0
 1584519678244769 | 6808625 |          1337 |           1319 |              1.591 |               0.315 |             10.402 |               6.785 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               75 |                      84 |      600000000 |          4 |          60 |        60 |           0.3 |                   0 |                    0 |                0 |        44.33 |              39.72 |                3.01 |            2.89 |                   39.72 |                     3.01 |                       0 |                        0
 1584519738245201 | 6808625 |          1394 |           1375 |              0.064 |                   0 |             10.882 |                 7.7 |              0 |             10 |            100 |            100 |                   100 |             19 |              99 |                    100 |               75 |                      58 |      600000000 |          4 |          60 |        60 |          0.26 |                   0 |                    0 |                0 |        54.22 |              32.36 |                3.72 |             2.7 |                   32.36 |                     3.72 |                       0 |                        0
 1584519798244358 | 6808625 |          1449 |           1433 |              0.001 |                   0 |             12.489 |               5.308 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               74 |                      68 |      600000000 |          4 |          60 |        60 |          0.25 |                   0 |                    0 |                0 |        58.22 |              26.88 |                5.48 |            1.51 |                   26.88 |                     5.48 |                       0 |                        0
 1584519858244857 | 6808625 |          1475 |           1460 |                  0 |                   0 |             13.754 |                1.54 |              0 |             10 |            100 |            100 |                   100 |             16 |              99 |                    100 |               75 |                      45 |      600000000 |          4 |          60 |        60 |          0.21 |                   0 |                    0 |                0 |        47.08 |              27.24 |                5.45 |            1.08 |                   27.24 |                     5.45 |                       0 |                        0
 1584519918245272 | 6808625 |          1502 |           1483 |                  0 |                   0 |              14.83 |               1.513 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               75 |                      59 |      600000000 |          4 |          60 |        60 |          0.19 |                   0 |                    0 |                0 |        37.16 |              24.06 |                6.76 |            0.75 |                   24.06 |                     6.76 |                       0 |                        0
 1584519978244973 | 6808625 |          1528 |           1514 |                  0 |                   0 |             14.846 |               1.913 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               73 |                      42 |      600000000 |          4 |          60 |        60 |          0.32 |                   0 |                    0 |                0 |        44.98 |              11.79 |                5.83 |            2.52 |                   11.79 |                     5.83 |                       0 |                        0
 1584520038245015 | 6808625 |          1549 |           1538 |                  0 |                   0 |             12.703 |               0.058 |              0 |             10 |            100 |            100 |                   100 |             14 |              99 |                    100 |               73 |                      44 |      600000000 |          4 |          60 |        60 |          0.12 |                   0 |                    0 |                0 |        26.61 |              22.48 |                3.79 |            0.49 |                   22.48 |                     3.79 |                       0 |                        0
 1584520098244638 | 6808625 |          1593 |           1585 |              0.491 |                   0 |             10.518 |               1.257 |              0 |             10 |            100 |            100 |                   100 |             16 |              99 |                    100 |               73 |                      85 |      600000000 |          4 |          60 |        60 |          0.23 |                   0 |                    0 |                0 |         39.9 |               31.6 |                0.78 |            1.68 |                    31.6 |                     0.78 |                       0 |                        0
 1584520158244893 | 6808625 |          1655 |           1647 |              0.001 |                   0 |              5.827 |               0.885 |              0 |             10 |            100 |            100 |                   100 |              9 |              99 |                    100 |               70 |                      26 |      600000000 |          4 |          60 |        60 |          0.29 |                   0 |                    0 |                0 |        43.59 |              36.91 |                2.53 |            1.34 |                   36.91 |                     2.53 |                       0 |                        0
 1584520219626268 | 6808625 |          1723 |           1704 |              3.885 |                   0 |              9.009 |               1.564 |              0 |             10 |            100 |            100 |                   100 |             19 |              99 |                    100 |               70 |                     100 |      600000000 |          4 |       61.38 |     61.38 |          0.24 |                   0 |                    0 |                0 |        51.52 |              18.16 |                2.86 |            1.15 |                   18.16 |                     2.86 |                       0 |                        0
 1584520279626320 | 6808625 |          1765 |           1745 |              0.185 |               0.713 |              8.546 |              10.309 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               70 |                      66 |      600000000 |          4 |          60 |        60 |          0.25 |                   0 |                    0 |                0 |        52.64 |              24.61 |                2.18 |            2.66 |                   24.61 |                     2.18 |                       0 |                        0
 1584520339015399 | 6808625 |          1808 |           1796 |               0.16 |               0.011 |              6.578 |              10.799 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               69 |                      53 |      600000000 |          4 |       59.39 |     59.39 |          0.21 |                   0 |                    0 |                0 |        52.05 |              19.94 |                2.71 |            2.61 |                   19.94 |                     2.71 |                       0 |                        0
 1584520401435927 | 6808625 |          1890 |           1870 |              2.543 |                0.07 |             13.944 |               2.062 |              0 |             10 |            100 |            100 |                   100 |             20 |              99 |                    100 |               70 |                     100 |      600000000 |          4 |       62.42 |     62.42 |          0.27 |                   0 |                    0 |                0 |        55.28 |              27.84 |                 0.9 |            0.79 |                   27.84 |                      0.9 |                       0 |                        0
